prijs;discipline;jaar;laureaat;motivering
Nobelprijs;geneeskunde;2000;Arvid Carlsson (Zwe) ;voor het bewijzen dat dopamine een neurotransmitter is in de hersenen, welke leidt tot symptomen van de ziekte van Parkinson
Nobelprijs;geneeskunde;2000;Eric R. Kandel (VS) ;voor het beschrijven hoe korte- en langetermijngeheugen worden gevormd op moleculair niveau
Nobelprijs;geneeskunde;2000;Paul Greengard (VS) ;voor het aantonen hoe neurotransmitters werken in de cel, en hoe ze een centraal molecuul dat bekend staat als DARPP-32 activeren
Turing Award;informatica;2000;Andrew Chi-Chih Yao (Chn) ;in recognition of his fundamental contributions to the theory of computation, including the complexity-based theory of pseudorandom number generation, cryptography, and communication complexity
Nobelprijs;literatuur;2000;Gao Xingjian (Fra);for an oeuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama
Nobelprijs;natuurkunde;2000;Zhores Ivanovich Alferov (Rus);voor basaal onderzoek naar informatie- en communicatietechnologie
Nobelprijs;natuurkunde;2000;Herbert Kroemer (VS);voor het ontwikkelen van halfgeleider heterostructuren die worden gebruikt in zeer snelle opto-elektronica
Nobelprijs;natuurkunde;2000;Jack St. Clair Kilby (VS) ;voor zijn aandeel in de uitvinding van de ge‹ntegreerde schakeling (Kilby)
Nobelprijs;scheikunde;2000;Alan Jay Heeger (VS), Alan Graham MacDiarmid (VS/N-Z), Hideki Shirakawa (Jap) ;voor hun ontdekking en ontwikkeling van geleidende polymeren
Nobelprijs;vrede;2000;Kim Dae Jung (Z-Kor);voor zijn werk voor democratie en mensenrechten, en in het bijzonder voor vrede en verzoening met Noord-Korea
Nobelprijs;economie;2001;George Akerlof (VS), Michael Spence (VS), Joseph E. Stiglitz (VS);for their analyses of markets with asymmetric information
Nobelprijs;geneeskunde;2001;Leland H. Hartwell (VS), R. Timothy Hunt (GB), Paul M. Nurse (GB) ;voor de ontdekking van cycline en cycline-afhankelijk kinase, centrale moleculen in de regulatie van de celcyclus
Turing Award;informatica;2001;Ole-Johan Dahl (Noo), Kristen Nygaard (Noo) ;for ideas fundamental to the emergence of object-oriented programming, through their design of the programming languages Simula I and Simula 67
Nobelprijs;literatuur;2001;V.S. Naipaul (GB);for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories
Nobelprijs;natuurkunde;2001;Eric Allin Cornell (VS), Wolfgang Ketterle (Dui), Carl Edwin Wieman (VS) ;voor het bereiken van Bose-Einsteincondensaten in ijle gassen van alkaliatomen en voor vroeg fundamenteel onderzoek naar de eigenschappen van de condensaten
Nobelprijs;scheikunde;2001;Karl Barry Sharpless (VS) ;voor zijn verrichtingen op het gebied van chiraal gekatalyseerde oxidatiereacties
Nobelprijs;scheikunde;2001;William Standish Knowles (VS), Ryoji Noyori (Jap);voor hun verrichtingen op het gebied van chiraal gekatalyseerde hydrogeneringsreacties
Nobelprijs;vrede;2001;Kofi Annan (Gha), Verenigde Naties (VN);voor hun werk voor een beter georganiseerde en vreedzamer wereld
Nobelprijs;economie;2002;Daniel Kahneman (VS/Isr);for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty
Nobelprijs;economie;2002;Vernon L. Smith (VS);for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms
Nobelprijs;geneeskunde;2002;Sydney Brenner (GB), H. Robert Horvitz (VS), John E. Sulston (VS) ;voor hun ontdekkingen betreffende de genetische regulatie van de orgaanontwikkeling en de geprogrammeerde celdood
Turing Award;informatica;2002;Ronald L. Rivest (VS), Adi Shamir (Isr), Leonard M. Adleman (VS) ;for their ingenious contribution for making public-key cryptography useful in practice
Nobelprijs;literatuur;2002;Imre Kertész (Hon);for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history
Nobelprijs;natuurkunde;2002;Riccardo Giacconi (Ita) ;voor zijn pioniersbijdrage tot de astrofysica, wat heeft geleid tot de ontdekking van de kosmische Röntgenbronnen
Nobelprijs;natuurkunde;2002;Raymond Davis Jr. (VS), Masatoshi Koshiba (Jap);voor hun pioniersbijdrage tot de astrofysica, in het bijzonder de ontdekking van kosmische neutrino's
Nobelprijs;scheikunde;2002;Kurt Wüthrich (Zwi), John Bennett Fenn (VS), Koichi Tanaka (Jap) ;voor hun ontwikkeling van methodes voor identificatie en structuuranalyse van biologische macromoleculen
Nobelprijs;vrede;2002;Jimmy Carter (VS);voor zijn jarenlange inzet voor de vrede in verschillende conflicten
Nobelprijs;economie;2003;Robert F. Engle (VS);for methods of analyzing economic time series with time-varying volatility (ARCH)
Nobelprijs;economie;2003;Clive Granger (GB);for methods of analyzing economic time series with common trends (cointegration)
Nobelprijs;geneeskunde;2003;Paul Lauterbur (VS), Peter Mansfield (GB) ;voor hun ontdekkingen op het gebied van de magnetische resonantietomografie
Turing Award;informatica;2003;Alan Kay (VS) ;for pioneering many of the ideas at the root of contemporary object-oriented programming languages, leading the team that developed Smalltalk, and for fundamental contributions to personal computing
Nobelprijs;literatuur;2003;John Maxwell Coetzee (Z-Afr);who in innumerable guises portrays the surprising involvement of the outsider
Nobelprijs;natuurkunde;2003;Alexei Alexeevich Abrikosov (Rus), Vitaly Lazarevich Ginzburg (Rus), Anthony James Leggett (VS) ;voor hun pioniersbijdrage aan de theorie van supergeleiding en superflu‹diteit
Nobelprijs;scheikunde;2003;Peter Agre (VS), Roderick MacKinnon (VS) ;voor hun ontdekkingen op het gebied van kanalen in celmembranen
Nobelprijs;vrede;2003;Shirin Ebadi (Iran);voor haar inspanningen voor de democratie en mensenrechten
Abelprijs;wiskunde;2003;Jean-Pierre Serre (Fra);for playing a key role in shaping the modern form of many parts of mathematics, including topology, algebraic geometry and number theory
Nobelprijs;economie;2004;Finn E. Kydland (Noo), Edward C. Prescott (VS);for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
Nobelprijs;geneeskunde;2004;Linda B. Buck (VS), Richard Axel (VS) ;voor hun ontdekking van geurreceptoren en de opbouw van het reukzintuigsysteem bij mensen
Turing Award;informatica;2004;Vinton G. Cerf (VS), Robert E. Kahn (VS) ;for pioneering work on internetworking, including the design and implementation of the Internet's basic communications protocols, TCP/IP, and for inspired leadership in networking
Nobelprijs;literatuur;2004;Elfriede Jelinek (Oos);for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power
Nobelprijs;natuurkunde;2004;David Jonathan Gross (VS), Hugh David Politzer (VS), Frank Wilczek (VS) ;voor hun ontdekking van asymptotische vrijheid in de theorie van de sterke wisselwerking
Nobelprijs;scheikunde;2004;Aaron Ciechanover (Isr), Avram Hershko (Isr), Irwin A. Rose (VS) ;voor hun ontdekking van de rol van ubiquitine bij de eiwitdegradatie
Nobelprijs;vrede;2004;Wangari Maathai (Ken);voor haar bijdrage aan duurzame ontwikkeling, democratie en vrede
Abelprijs;wiskunde;2004;Michael F. Atiyah (GB), Isadore M. Singer (VS);for their discovery and proof of the index theorem, bringing together topology, geometry and analysis, and their outstanding role in building new bridges between mathematics and theoretical physics
Nobelprijs;economie;2005;Robert Aumann (Isr/VS), Thomas Schelling (VS);for having enhanced our understanding of conflict and cooperation through game-theory analysis
Nobelprijs;geneeskunde;2005;Barry J. Marshall (Aus), Robin Warren (Aus) ;voor de ontdekking van de bacterie Helicobacter pylori en de rol hiervan bij gastritis en maagzweren
Turing Award;informatica;2005;Peter Naur (Den) ;for fundamental contributions to programming language design and the definition of Algol 60, to compiler design, and to the art and practice of computer programming
Nobelprijs;literatuur;2005;Harold Pinter (GB);who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms
Nobelprijs;natuurkunde;2005;Roy Jay Glauber (VS), John L. Hall (VS), Theodore Wolfgang Hänsch (Dui) ;voor hun bijdragen aan de ontwikkeling van precisiespectroscopie met behulp van lasers, waaronder de optical frequency comb techniek
Nobelprijs;scheikunde;2005;Robert Howard Grubbs (VS), Richard Royce Shrock (VS), Yves Chauvin (Fra) ;voor de ontwikkeling van de metathesemethode in de organische syntheses
Nobelprijs;vrede;2005;Mohamed ElBaradei (Egy), Internationaal Atoomenergie Agentschap (VN);voor hun inzet om de verspreiding van kernwapens tegen te gaan
Abelprijs;wiskunde;2005;Peter D. Lax (Hon/VS);for his groundbreaking contributions to the theory and application of partial differential equations and to the computation of their solutions
Nobelprijs;economie;2006;Edmund Phelps (VS);for his analysis of intertemporal tradeoffs in macroeconomic policy
Nobelprijs;geneeskunde;2006;Andrew Fire (VS), Craig Mello (VS) ;voor het ontdekken dat genen stilgelegd kunnen worden (RNA-interferentie)
Turing Award;informatica;2006;Frances E. Allen (VS) ;for pioneering contributions to the theory and practice of optimizing compiler techniques that laid the foundation for modern optimizing compilers and automatic parallel execution
Nobelprijs;literatuur;2006;Orhan Pamuk (Tur);who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures
Nobelprijs;natuurkunde;2006;John C. Mather (VS), George F. Smoot (VS) ;voor hun ontdekking van de zwartelichaamsvorm en de anisotropie van de kosmische achtergrondstraling
Nobelprijs;scheikunde;2006;Roger D. Kornberg (VS) ;voor de studie van de moleculaire basis van eukaryotische transcriptie
Nobelprijs;vrede;2006;Muhammad Yunus (Ban), Grameen Bank (Ban);voor hun inspanningen om economische en sociale ontwikkelingen van onderop mogelijk te maken (door middel van microkredieten)
Abelprijs;wiskunde;2006;Lennart Carleson (Zwe);for his profound and seminal contributions to harmonic analysis and the theory of smooth dynamical systems
Nobelprijs;economie;2007;Leonid Hurwicz (VS), Eric Maskin (VS), Roger Myerson (VS);for having laid the foundations of mechanism design theory
Nobelprijs;geneeskunde;2007;Mario Capecchi (VS), Oliver Smithies (VS), Martin J. Evans (GB) ;voor hun ontdekking van principes waarmee specifieke genmodificaties kunnen worden aangebracht bij muizen door gebruik te maken van embryonale stamcellen
Turing Award;informatica;2007;Edmund M. Clarke (VS), E. Allen Emerson (VS), Joseph Sifakis (Gri) ;for their roles in developing Model-Checking into a highly effective verification technology, widely adopted in the hardware and software industries
Nobelprijs;literatuur;2007;Doris Lessing (GB);that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny
Nobelprijs;natuurkunde;2007;Peter Grünberg (Dui), Albert Fert (Fra) ;voor hun ontdekking van het Giant Magneto Resistance (GMR)-effect
Nobelprijs;scheikunde;2007;Gerhard Ertl (Dui) ;voor zijn studies naar chemische processen op vaste oppervlakken
Nobelprijs;vrede;2007;Al Gore (VS), Intergovernmental Panel on Climate Change (VN);voor de inspanningen om kennis op te bouwen over de invloeden van de mens op het klimaat en over de oplossingen die nodig zijn om die veranderingen tegen te gaan
Abelprijs;wiskunde;2007;S. R. Srinivasa Varadhan (Ind/VS);for his fundamental contributions to probability theory and in particular for creating a unified theory of large deviation
Abelprijs;wiskunde;2008;John G. Thompson (VS), Jacques Tits (Bel);for their profound achievements in algebra and in particular for shaping modern group theory
